date,entry_time,exit_time,symbol,position,leverage,entry_price,exit_price,exit_type,pnl_percentage
2024-11-11,2024-11-11 15:51:00,2024-11-11 18:51:00,BTC,LONG,20.0,83959.09,85465.07,time_window,35.87413822612919
2024-11-11,2024-11-11 15:51:00,2024-11-11 18:51:00,ETH,LONG,20.0,3236.75,3318.98,time_window,50.810226307252655
2024-11-11,2024-11-11 15:51:00,2024-11-11 18:51:00,TON,LONG,10.0,5.374,5.423,time_window,9.11797543729073
2024-11-11,2024-11-11 15:51:00,2024-11-11 18:51:00,FTM,SHORT,10.0,0.7904,0.8226,time_window,-40.738866396761146
2024-11-11,2024-11-11 15:51:00,2024-11-11 18:51:00,STX,SHORT,10.0,2.036,2.034,time_window,0.9823182711199527
2024-11-11,2024-11-11 15:51:00,2024-11-11 18:51:00,TRX,SHORT,10.0,0.1654,0.1663,time_window,-5.441354292624014
2024-11-11,2024-11-11 20:31:00,2024-11-11 23:31:00,ADA,LONG,10.0,0.6034,0.6145,time_window,18.395757374875704
2024-11-11,2024-11-11 20:31:00,2024-11-11 23:31:00,DOGE,LONG,10.0,0.32217,0.34268,time_window,63.66204177918482
2024-11-11,2024-11-11 20:31:00,2024-11-11 23:31:00,BTC,LONG,20.0,86617.32,88940.0,time_window,53.63084426994493
2024-11-11,2024-11-11 20:31:00,2024-11-11 23:31:00,AVAX,SHORT,15.0,34.23,35.35,time_window,-49.079754601227194
2024-11-11,2024-11-11 20:31:00,2024-11-11 23:31:00,SUI,SHORT,10.0,3.1947,3.2054,time_window,-3.3492972736093938
2024-11-11,2024-11-11 20:31:00,2024-11-11 23:31:00,ICP,SHORT,15.0,9.25,9.396,time_window,-23.675675675675805
2024-11-11,2024-11-11 23:31:00,2024-11-12 02:31:00,UNI,LONG,10.0,9.305,9.869,time_window,60.61257388500807
2024-11-11,2024-11-11 23:31:00,2024-11-12 02:31:00,BTC,LONG,20.0,88940.0,88068.01,time_window,-19.60850011243547
2024-11-11,2024-11-11 23:31:00,2024-11-12 02:31:00,ETH,LONG,20.0,3362.21,3314.0,time_window,-28.677566243631443
2024-11-11,2024-11-11 23:31:00,2024-11-12 02:31:00,DOGE,SHORT,10.0,0.34268,0.35386,time_window,-32.62518968133542
2024-11-11,2024-11-11 23:31:00,2024-11-12 02:31:00,SOL,SHORT,10.0,222.31,217.85,time_window,20.062075480185364
2024-11-11,2024-11-11 23:31:00,2024-11-12 02:31:00,SUI,SHORT,10.0,3.2054,3.1142,time_window,28.45198727147943
2024-11-12,2024-11-12 02:31:00,2024-11-12 05:31:00,UNI,LONG,10.0,9.869,9.766,time_window,-10.43672104569863
2024-11-12,2024-11-12 02:31:00,2024-11-12 05:31:00,TON,LONG,15.0,5.49,5.503,time_window,3.551912568305984
2024-11-12,2024-11-12 02:31:00,2024-11-12 05:31:00,DOGE,LONG,10.0,0.35386,0.41628,time_window,176.3974453173571
2024-11-12,2024-11-12 02:31:00,2024-11-12 05:31:00,GRT,SHORT,10.0,0.2022,0.2004,time_window,8.902077151335293
2024-11-12,2024-11-12 02:31:00,2024-11-12 05:31:00,SOL,SHORT,10.0,217.85,218.64,time_window,-3.6263484048656967
2024-11-12,2024-11-12 02:31:00,2024-11-12 05:31:00,FTM,SHORT,10.0,0.8138,0.8068,time_window,8.60162202015238
2024-11-12,2024-11-12 05:31:00,2024-11-12 08:31:00,BTC,LONG,20.0,88624.01,88869.32,time_window,5.535971572489492
2024-11-12,2024-11-12 05:31:00,2024-11-12 08:31:00,ETH,LONG,20.0,3340.0,3370.85,time_window,18.473053892215514
2024-11-12,2024-11-12 05:31:00,2024-11-12 08:31:00,SOL,LONG,15.0,218.64,223.37,time_window,32.450603732162584
2024-11-12,2024-11-12 05:31:00,2024-11-12 08:31:00,ADA,SHORT,10.0,0.5936,0.6354,time_window,-70.41778975741231
2024-11-12,2024-11-12 05:31:00,2024-11-12 08:31:00,ICP,SHORT,10.0,9.442,9.479,time_window,-3.9186613005718103
2024-11-12,2024-11-12 05:31:00,2024-11-12 08:31:00,UNI,SHORT,10.0,9.766,9.696,time_window,7.1677247593692694
2024-11-12,2024-11-12 08:31:00,2024-11-12 11:31:00,TON,LONG,10.0,5.596,5.3,time_window,-52.89492494639032
2024-11-12,2024-11-12 08:31:00,2024-11-12 11:31:00,TRX,LONG,10.0,0.1688,0.1767,time_window,46.800947867298525
