date,time,trade_section,signals,processed_at,fixed_signals
11/11/2024,15:51,"**- **Bitcoin (BTC):** Long, Leverage x20- **Ethereum (ETH):** Long, Leverage x20- **TON (TONUSDT):** Long, Leverage x10- **FTM (FTMUSDT):** Short, Leverage x10- **STX (STXUSDT):** Short, Leverage x10- **TRX (TRXUSDT):** Short, Leverage x10⚠️ **",BTC:LONG:20;ETH:LONG:20;TON:LONG:20;FTM:LONG:10;STX:SHORT:10;TRX:SHORT:10,2024-11-30 18:09:20 UTC,BTC:LONG:20;ETH:LONG:20;TON:LONG:10;FTM:SHORT:10;STX:SHORT:10;TRX:SHORT:10
11/11/2024,20:31,1. ADA - Long - x102. DOGE - Long - x103. BTC - Long - x204. AVAX - Short - x155. SUI - Short - x106. ICP - Short - x15⚠️,ADA:LONG:1;DOGE:LONG:1;BTC:LONG:10;AVAX:LONG:10;SUI:LONG:20;ICP:SHORT:15,2024-11-30 18:09:20 UTC,ADA:LONG:10;DOGE:LONG:10;BTC:LONG:20;AVAX:SHORT:15;SUI:SHORT:10;ICP:SHORT:15
11/11/2024,23:31,1. UNIUSDT - Long x102. BTCUSDT - Long x203. ETHUSDT - Long x204. DOGEUSDT - Short x105. SOLUSDT - Short x106. SUIUSDT - Short x10⚠️,UNI:LONG:1;BTC:LONG:1;ETH:LONG:10;DOGE:LONG:20;SOL:LONG:20;SUI:SHORT:10,2024-11-30 18:09:20 UTC,UNI:LONG:10;BTC:LONG:20;ETH:LONG:20;DOGE:SHORT:10;SOL:SHORT:10;SUI:SHORT:10
12/11/2024,02:31,1. UNI - Long x102. TON - Long x153. DOGE - Long x104. GRT - Short x105. SOL - Short x106. FTM - Short x10⚠️,UNI:LONG:1;TON:LONG:1;DOGE:LONG:10;GRT:LONG:15;SOL:LONG:10;FTM:SHORT:10,2024-11-30 18:09:20 UTC,UNI:LONG:10;TON:LONG:15;DOGE:LONG:10;GRT:SHORT:10;SOL:SHORT:10;FTM:SHORT:10
12/11/2024,05:31,"**  - **BTCUSDT - Long, Leverage: x20**  - **ETHUSDT - Long, Leverage: x20**  - **SOLUSDT - Long, Leverage: x15**  - **ADAUSDT - Short, Leverage: x10**  - **ICPUSDT - Short, Leverage: x10**  - **UNIUSDT - Short, Leverage: x10**  ⚠️ **",BTC:LONG:20;ETH:LONG:20;SOL:LONG:20;ADA:LONG:20;ICP:SHORT:15;UNI:SHORT:10,2024-11-30 18:09:20 UTC,BTC:LONG:20;ETH:LONG:20;SOL:LONG:15;ADA:SHORT:10;ICP:SHORT:10;UNI:SHORT:10
12/11/2024,08:31,1. TONUSDT - Long x102. TRXUSDT - Long x103. BNBUSDT - Long x154. 1000SHIBUSDT - Short x105. DOGEUSDT - Short x106. XRPUSDT - Short x10⚠️,TON:LONG:1;TRX:LONG:1;BNB:LONG:10;1000SHIB:LONG:10;DOGE:LONG:15;XRP:SHORT:10,2024-11-30 18:09:20 UTC,TON:LONG:10;TRX:LONG:10;BNB:LONG:15;1000SHIB:SHORT:10;DOGE:SHORT:10;XRP:SHORT:10
12/11/2024,11:31,1. BNB - Long x152. TON - Long x103. DOGE - Long x104. GRT - Short x155. FTM - Short x106. STX - Short x10⚠️,BNB:LONG:1;TON:LONG:1;DOGE:LONG:15;GRT:LONG:10;FTM:LONG:10;STX:SHORT:15,2024-11-30 18:09:20 UTC,BNB:LONG:15;TON:LONG:10;DOGE:LONG:10;GRT:SHORT:15;FTM:SHORT:10;STX:SHORT:10
19/11/2024,14:31,"**1. BTC - Long, Leverage x202. ETH - Long, Leverage x203. DOGE - Long, Leverage x104. GRT - Short, Leverage x105. ADA - Short, Leverage x106. LINK - Short, Leverage x10⚠️ **",BTC:LONG:1;ETH:LONG:1;DOGE:LONG:20;GRT:LONG:20;ADA:SHORT:10,2024-11-30 18:09:20 UTC,BTC:LONG:20;ETH:LONG:20;DOGE:LONG:10;GRT:SHORT:10;ADA:SHORT:10;LINK:SHORT:10
19/11/2024,17:31,**1. Long XRP - Leverage x102. Long GRT - Leverage x103. Long ADA - Leverage x154. Short TRX - Leverage x105. Short ICP - Leverage x156. Short SUI - Leverage x10⚠️ **,XRP:LONG:1;GRT:LONG:10;ADA:LONG:10;TRX:LONG:15;ICP:SHORT:10;SUI:SHORT:15,2024-11-30 18:09:20 UTC,XRP:LONG:10;GRT:LONG:10;ADA:LONG:15;TRX:SHORT:10;ICP:SHORT:15;SUI:SHORT:10
19/11/2024,20:31,"**- **BTC**: Long, x20 leverage- **ETH**: Short, x20 leverage- **DOGE**: Long, x10 leverage- **SUI**: Short, x10 leverage- **TRX**: Long, x15 leverage- **XRP**: Short, x10 leverage⚠️ **",BTC:LONG:20;ETH:LONG:20;DOGE:SHORT:20;SUI:LONG:10;TRX:SHORT:10;XRP:LONG:15,2024-11-30 18:09:20 UTC,BTC:LONG:20;ETH:SHORT:20;DOGE:LONG:10;SUI:SHORT:10;TRX:LONG:15;XRP:SHORT:10
