date,time,token,position,leverage
11/11/2024,15:51,BTC,LONG,20
11/11/2024,15:51,ETH,LONG,20
11/11/2024,15:51,TON,LONG,20
11/11/2024,15:51,FTM,LONG,10
11/11/2024,15:51,STX,SHORT,10
11/11/2024,15:51,TRX,SHORT,10
11/11/2024,20:31,ADA,LONG,1
11/11/2024,20:31,DOGE,LONG,1
11/11/2024,20:31,BTC,LONG,102
11/11/2024,20:31,AVAX,LONG,103
11/11/2024,20:31,SUI,LONG,204
11/11/2024,20:31,ICP,SHORT,155
11/11/2024,23:31,UNI,LONG,1
11/11/2024,23:31,BTC,LONG,1
11/11/2024,23:31,ETH,LONG,102
11/11/2024,23:31,DOGE,LONG,203
11/11/2024,23:31,SOL,LONG,204
11/11/2024,23:31,SUI,SHORT,105
12/11/2024,02:31,UNI,LONG,1
12/11/2024,02:31,TON,LONG,1
12/11/2024,02:31,DOGE,LONG,102
12/11/2024,02:31,GRT,LONG,153
12/11/2024,02:31,SOL,LONG,104
12/11/2024,02:31,FTM,SHORT,105
12/11/2024,05:31,BTC,LONG,20
12/11/2024,05:31,ETH,LONG,20
12/11/2024,05:31,SOL,LONG,20
12/11/2024,05:31,ADA,LONG,20
12/11/2024,05:31,ICP,SHORT,15
12/11/2024,05:31,UNI,SHORT,10
12/11/2024,08:31,TON,LONG,1
12/11/2024,08:31,TRX,LONG,1
12/11/2024,08:31,BNB,LONG,102
12/11/2024,08:31,1000SHIB,LONG,103
12/11/2024,08:31,DOGE,LONG,154
12/11/2024,08:31,XRP,SHORT,105
12/11/2024,11:31,BNB,LONG,1
12/11/2024,11:31,TON,LONG,1
12/11/2024,11:31,DOGE,LONG,152
12/11/2024,11:31,GRT,LONG,103
12/11/2024,11:31,FTM,LONG,104
12/11/2024,11:31,STX,SHORT,155
12/11/2024,14:31,BTC,LONG,1
12/11/2024,14:31,ETH,LONG,1
12/11/2024,14:31,TRX,LONG,202
12/11/2024,14:31,SOL,SHORT,203
12/11/2024,14:31,DOGE,LONG,154
12/11/2024,14:31,ADA,SHORT,105
12/11/2024,17:31,BTC,LONG,1
12/11/2024,17:31,TON,LONG,202
12/11/2024,17:31,FTM,LONG,10
12/11/2024,17:31,TRX,SHORT,10
12/11/2024,17:31,SUI,SHORT,10
12/11/2024,17:31,DOGE,SHORT,10
12/11/2024,20:31,TRX,LONG,1
12/11/2024,20:31,UNI,LONG,1
12/11/2024,20:31,DOGE,LONG,102
12/11/2024,20:31,XRP,LONG,103
12/11/2024,20:31,AVAX,LONG,104
12/11/2024,20:31,TON,SHORT,155
12/11/2024,23:31,BTC,LONG,20
12/11/2024,23:31,ETH,LONG,20
12/11/2024,23:31,ADA,LONG,20
12/11/2024,23:31,TRX,LONG,20
12/11/2024,23:31,TON,SHORT,10
12/11/2024,23:31,LTC,SHORT,10
13/11/2024,02:31,BNB,LONG,15
13/11/2024,02:31,TON,LONG,15
13/11/2024,02:31,LTC,LONG,15
13/11/2024,02:31,TRX,LONG,10
13/11/2024,02:31,XRP,SHORT,10
13/11/2024,02:31,SUI,SHORT,10
13/11/2024,05:31,BNB,LONG,1
13/11/2024,05:31,ICP,LONG,1
13/11/2024,05:31,ADA,LONG,152
13/11/2024,05:31,TRX,LONG,153
13/11/2024,05:31,DOGE,LONG,104
13/11/2024,05:31,1000SHIB,SHORT,105
13/11/2024,08:31,BTC,LONG,20
13/11/2024,08:31,ETH,LONG,20
13/11/2024,08:31,XRP,LONG,20
13/11/2024,08:31,SUI,SHORT,15
13/11/2024,08:31,TON,SHORT,10
13/11/2024,08:31,ADA,SHORT,10
13/11/2024,11:31,ADA,LONG,10
13/11/2024,11:31,SOL,LONG,10
13/11/2024,11:31,BTC,LONG,10
13/11/2024,11:31,TRX,SHORT,15
13/11/2024,11:31,DOGE,SHORT,20
13/11/2024,11:31,GRT,SHORT,10
13/11/2024,14:31,LTC,LONG,1
13/11/2024,14:31,ADA,LONG,1
13/11/2024,14:31,ETH,LONG,102
13/11/2024,14:31,DOGE,LONG,153
13/11/2024,14:31,SOL,LONG,204
13/11/2024,14:31,BNB,SHORT,105
13/11/2024,17:31,TRX,LONG,1
13/11/2024,17:31,ADA,LONG,102
13/11/2024,17:31,ICP,LONG,153
13/11/2024,17:31,SUI,LONG,154
13/11/2024,17:31,SOL,SHORT,105
13/11/2024,20:31,ADA,LONG,1
13/11/2024,20:31,TRX,LONG,1
13/11/2024,20:31,FTM,LONG,102
13/11/2024,20:31,SUI,LONG,103
13/11/2024,20:31,UNI,SHORT,105
13/11/2024,23:31,BTC,LONG,20
13/11/2024,23:31,ETH,LONG,20
13/11/2024,23:31,SUI,LONG,20
13/11/2024,23:31,DOGE,LONG,20
13/11/2024,23:31,ADA,SHORT,10
13/11/2024,23:31,UNI,SHORT,10
14/11/2024,02:31,BTC,LONG,20
14/11/2024,02:31,ETH,LONG,20
14/11/2024,02:31,TON,LONG,20
14/11/2024,02:31,ICP,LONG,10
14/11/2024,02:31,DOGE,SHORT,10
14/11/2024,02:31,SOL,SHORT,10
14/11/2024,05:31,BTC,LONG,20
14/11/2024,05:31,ETH,LONG,20
14/11/2024,05:31,XRP,SHORT,20
14/11/2024,05:31,BNB,LONG,15
14/11/2024,05:31,SOL,SHORT,10
14/11/2024,05:31,LTC,LONG,15
14/11/2024,08:31,BTC,LONG,1
14/11/2024,08:31,ETH,LONG,1
14/11/2024,08:31,LTC,LONG,202
14/11/2024,08:31,TAO,LONG,203
14/11/2024,08:31,SUI,LONG,154
14/11/2024,08:31,DOGE,SHORT,105
14/11/2024,11:31,BTC,LONG,20
14/11/2024,11:31,ETH,LONG,20
14/11/2024,11:31,TRX,LONG,20
14/11/2024,11:31,SUI,LONG,20
14/11/2024,11:31,ADA,LONG,15
14/11/2024,11:31,DOGE,SHORT,10
14/11/2024,14:31,BNB,LONG,1
14/11/2024,14:31,XRP,LONG,1
14/11/2024,14:31,LTC,LONG,2
14/11/2024,14:31,ICP,LONG,3
14/11/2024,14:31,DOGE,SHORT,4
14/11/2024,14:31,GRT,SHORT,5
14/11/2024,17:31,BTC,LONG,20
14/11/2024,17:31,ETH,LONG,20
14/11/2024,17:31,TON,LONG,20
14/11/2024,17:31,SUI,LONG,20
14/11/2024,17:31,DOGE,LONG,15
14/11/2024,20:31,ADA,LONG,1
14/11/2024,20:31,STX,LONG,1
14/11/2024,20:31,UNI,LONG,102
14/11/2024,20:31,TRX,LONG,103
14/11/2024,20:31,XRP,LONG,154
14/11/2024,20:31,ICP,SHORT,105
14/11/2024,23:31,ADA,LONG,1
14/11/2024,23:31,XRP,LONG,1
14/11/2024,23:31,BTC,LONG,102
14/11/2024,23:31,SUI,LONG,153
14/11/2024,23:31,TON,LONG,204
14/11/2024,23:31,DOGE,SHORT,105
15/11/2024,02:31,BTC,LONG,1
15/11/2024,02:31,ETH,LONG,1
15/11/2024,02:31,ETH,LONG,202
15/11/2024,02:31,LTC,LONG,202
15/11/2024,02:31,LTC,LONG,203
15/11/2024,02:31,XRP,LONG,203
15/11/2024,02:31,XRP,LONG,154
15/11/2024,02:31,ADA,SHORT,154
15/11/2024,02:31,ADA,SHORT,105
15/11/2024,02:31,SOL,SHORT,105
15/11/2024,02:31,SOL,SHORT,106
15/11/2024,05:31,XRP,LONG,1
15/11/2024,05:31,GRT,LONG,1
15/11/2024,05:31,TRX,LONG,102
15/11/2024,05:31,SUI,LONG,103
15/11/2024,05:31,SOL,LONG,154
15/11/2024,05:31,DOGE,SHORT,105
15/11/2024,08:31,TON,LONG,1
15/11/2024,08:31,TRX,LONG,1
15/11/2024,08:31,TAO,LONG,102
15/11/2024,08:31,AVAX,LONG,104
15/11/2024,08:31,LTC,SHORT,155
15/11/2024,11:31,LTC,SHORT,1
15/11/2024,11:31,BNB,SHORT,1
15/11/2024,11:31,TRX,SHORT,102
15/11/2024,11:31,ADA,SHORT,103
15/11/2024,11:31,DOGE,LONG,154
15/11/2024,11:31,BTC,LONG,155
15/11/2024,14:31,BTC,LONG,20
15/11/2024,14:31,ETH,LONG,20
15/11/2024,14:31,ADA,LONG,20
15/11/2024,14:31,DOGE,LONG,15
15/11/2024,14:31,DOGE,SHORT,15
15/11/2024,14:31,TAO,SHORT,10
15/11/2024,14:31,SOL,SHORT,10
15/11/2024,17:31,UNI,LONG,15
15/11/2024,17:31,BTC,LONG,15
15/11/2024,17:31,TRX,LONG,15
15/11/2024,17:31,ICP,SHORT,20
15/11/2024,17:31,XRP,SHORT,10
15/11/2024,20:31,ADA,LONG,1
15/11/2024,20:31,BNB,LONG,1
15/11/2024,20:31,UNI,LONG,2
15/11/2024,20:31,LTC,LONG,3
15/11/2024,20:31,FTM,SHORT,4
15/11/2024,20:31,SOL,SHORT,5
15/11/2024,23:31,AVAX,LONG,1
15/11/2024,23:31,XRP,LONG,152
15/11/2024,23:31,ADA,LONG,153
15/11/2024,23:31,TRX,LONG,104
15/11/2024,23:31,FTM,SHORT,105
15/11/2024,23:31,GRT,SHORT,106
16/11/2024,02:31,TRX,LONG,1
16/11/2024,02:31,UNI,LONG,1
16/11/2024,02:31,BTC,LONG,102
16/11/2024,02:31,TON,LONG,153
16/11/2024,02:31,ADA,LONG,204
16/11/2024,02:31,ICP,SHORT,105
16/11/2024,05:31,BTC,LONG,1
16/11/2024,05:31,ETH,LONG,1
16/11/2024,05:31,ETH,LONG,202
16/11/2024,05:31,XRP,LONG,202
16/11/2024,05:31,XRP,LONG,203
16/11/2024,05:31,ADA,LONG,203
16/11/2024,05:31,ADA,LONG,154
16/11/2024,05:31,UNI,SHORT,105
16/11/2024,05:31,TON,SHORT,105
16/11/2024,05:31,TON,SHORT,106
16/11/2024,08:31,BTC,LONG,20
16/11/2024,08:31,ETH,LONG,20
16/11/2024,08:31,BNB,LONG,20
16/11/2024,08:31,ADA,LONG,20
16/11/2024,08:31,XRP,LONG,15
16/11/2024,08:31,LTC,SHORT,10
16/11/2024,11:31,BTC,LONG,20
16/11/2024,11:31,ETH,LONG,20
16/11/2024,11:31,TRX,LONG,20
16/11/2024,11:31,GRT,LONG,20
16/11/2024,11:31,ADA,SHORT,10
16/11/2024,11:31,SUI,SHORT,10
16/11/2024,14:31,BTC,LONG,20
16/11/2024,14:31,ETH,LONG,20
16/11/2024,14:31,SOL,LONG,20
16/11/2024,14:31,XRP,LONG,10
16/11/2024,14:31,TRX,SHORT,10
16/11/2024,14:31,UNI,SHORT,10
16/11/2024,17:31,BTC,LONG,20
16/11/2024,17:31,ETH,LONG,20
16/11/2024,17:31,BNB,LONG,20
16/11/2024,17:31,DOGE,SHORT,15
16/11/2024,17:31,1000SHIB,SHORT,10
16/11/2024,17:31,LTC,SHORT,1000
16/11/2024,20:31,BTC,LONG,20
16/11/2024,20:31,ETH,LONG,20
16/11/2024,20:31,XRP,LONG,20
16/11/2024,20:31,TON,SHORT,10
16/11/2024,20:31,TRX,SHORT,10
16/11/2024,20:31,ADA,SHORT,15
16/11/2024,23:31,ETH,LONG,20
16/11/2024,23:31,ADA,LONG,20
16/11/2024,23:31,ICP,LONG,20
16/11/2024,23:31,XRP,LONG,15
16/11/2024,23:31,UNI,SHORT,10
16/11/2024,23:31,GRT,SHORT,10
17/11/2024,02:31,AVAX,LONG,1
17/11/2024,02:31,TAO,LONG,1
17/11/2024,02:31,ICP,LONG,102
17/11/2024,02:31,BNB,LONG,103
17/11/2024,02:31,ETH,LONG,154
17/11/2024,02:31,SOL,SHORT,105
17/11/2024,05:31,ETH,LONG,20
17/11/2024,05:31,SOL,LONG,20
17/11/2024,05:31,1000SHIB,LONG,20
17/11/2024,05:31,BNB,LONG,15
17/11/2024,05:31,LTC,SHORT,10
17/11/2024,05:31,ICP,SHORT,15
